Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.0545253, 10.665, 4.11001
0.0538849, 7.50721, 5.6059
0.0559209, 5.73857, 2.458
0.0554837, 9.76069, 3.70445
0.0569537, 9.01782, 5.27555
0.0573143, 2.26026, 5.41915
0.050907, 8.95664, 7.56683
0.0554842, 2.70897, 1.38704
0.0607129, 10.0575, 6.90667
0.0598146, 3.52352, 8.26498
0.0574371, 3.44802, 9.75748
0.0600736, 7.76735, 3.12349
0.0576773, 9.39426, 9.64942
0.0614664, 3.65077, 8.22412
0.0572521, 7.25595, 1.11377
0.0559802, 5.32359, 10.5958
0.0569946, 8.01683, 9.84442
0.0560306, 5.59389, 9.03122
0.0587088, 7.24437, 10.3899
0.0556416, 4.55822, 6.75959
0.0571179, 6.96217, 7.21462
0.0573692, 2.89297, 6.51409
0.0503109, 6.45391, 2.73387
0.0572457, 7.99008, 5.27225
0.055402, 10.4611, 10.8848
0.0595092, 6.2867, 9.72295
0.0584313, 1.1095, 9.31395
0.058512, 10.2804, 3.39866
0.0580024, 6.95221, 2.01008
0.0564798, 4.72998, 8.54137
0.0494828, 10.2272, 4.38386
0.0537548, 3.5946, 1.72639
0.0540525, 1.51373, 5.00163
0.054752, 5.15113, 5.57602
0.052212, 6.14753, 4.17271
0.0550656, 6.91931, 5.62361
0.0618826, 6.75431, 10.3337
0.0621381, 7.12929, 6.95567
0.0550687, 2.6212, 3.19011
0.053512, 2.11078, 8.95207
0.0568512, 4.67201, 4.57867
0.0572776, 5.1438, 7.13782
0.0518949, 2.51405, 3.68145
0.0581157, 4.53823, 4.09445
0.0597345, 8.09403, 8.80512
0.0563323, 8.87525, 9.96975
0.0529322, 10.6432, 4.7761
0.0517222, 10.0853, 2.01358
0.0554097, 2.89066, 4.38091
0.0519184, 3.23799, 8.05956
0.0526219, 4.76332, 3.56908
0.0615319, 3.01523, 6.80996
0.0556978, 3.81277, 7.95709
0.0576741, 7.16393, 6.68696
0.055427, 7.46849, 1.9537
0.0544742, 1.90194, 1.95865
0.0527216, 9.86011, 3.06983
0.0541898, 6.82361, 6.84851
0.0617785, 7.99286, 2.07487
0.0560057, 6.02939, 2.88035
0.0555814, 9.62187, 9.09466
0.0625709, 9.91383, 9.33065
0.0551339, 9.81144, 10.8349
0.0587945, 5.57886, 4.95771
0.0480437, 10.7211, 9.73014
0.0536341, 3.94897, 10.4379
0.0519556, 6.53519, 8.07237
0.0517271, 2.83143, 10.7709
0.0573997, 4.0101, 5.0411
0.0563916, 6.33015, 1.59786
0.0570933, 7.41551, 6.25522
0.0570528, 3.43813, 6.96365
0.0552697, 9.46571, 1.49463
0.0598199, 9.48272, 6.92776
0.0540412, 3.72163, 2.84821
0.0590213, 7.26934, 6.96431
0.0583308, 5.54808, 5.34098
0.0506159, 2.87934, 1.13215
0.0574223, 5.73937, 8.68398
0.0571252, 3.52896, 9.18761
0.0573094, 10.4874, 4.10867
0.0584653, 6.6069, 1.05182
0.0561261, 3.36769, 2.95091
0.0570171, 7.48174, 2.87304
0.0540971, 7.08073, 1.67397
0.0570888, 1.53974, 3.1019
0.0595061, 6.61154, 10.2172
0.053025, 3.10578, 2.04096
0.0511025, 10.1601, 10.7592
0.05786, 2.50975, 7.13677
0.0575687, 8.66553, 9.71497
0.053404, 7.40172, 7.70351
0.0561848, 7.58087, 7.46719
0.0591825, 9.78901, 10.271
0.0552943, 9.40778, 2.77241
0.0607232, 10.1222, 9.28139
0.0599322, 2.12645, 8.39686
0.0578198, 2.07186, 8.76284
0.0613339, 1.59538, 10.4022
0.0554429, 9.67468, 4.83219
0.0590619, 2.50463, 8.37039
0.0606471, 1.32312, 7.38303
0.0531613, 2.47332, 9.52471
0.0521848, 7.99987, 7.42305
0.0570054, 3.94985, 2.45787
0.0540809, 6.25486, 4.26573
0.0580033, 2.42825, 9.05785
0.0581364, 9.62425, 7.32768
0.057588, 4.51576, 10.0127
0.0542323, 4.60211, 5.89101
0.0594752, 2.97557, 10.2509
0.0555057, 7.83202, 4.19136
0.0546788, 7.1285, 7.43564
0.0553059, 6.98531, 5.56746
0.0595041, 5.30481, 3.80181
0.0506006, 10.7847, 5.98458
0.0540602, 5.05352, 9.44144
0.0626633, 4.29779, 10.8876
0.0603755, 3.2416, 4.38578
0.0503142, 3.90745, 10.001
0.0535867, 4.90562, 2.50829
0.0654166, 2.1608, 1.25262
0.0529638, 6.78448, 4.44798
0.0533781, 8.06159, 5.65249
0.0525442, 8.95828, 8.75193
0.0506328, 8.90836, 5.18656
0.0607937, 7.22994, 9.34251
0.0599197, 1.17682, 9.21795
0.0554886, 6.38357, 4.66091
0.0621638, 4.04069, 10.1885
0.0550623, 4.01591, 5.47562
0.0566172, 6.52981, 7.43723
0.0587425, 7.34087, 2.41674
0.0603764, 6.25492, 8.31138
0.0572752, 8.60958, 9.43373
0.0527117, 3.54359, 1.34856
0.0521275, 7.18477, 3.7768
0.058243, 8.05988, 2.73836
0.0558989, 9.01, 2.60615
0.060396, 10.9839, 8.51109
0.0615525, 2.78374, 5.89272
0.051862, 2.57702, 7.88549
0.0526235, 7.48075, 6.41481
0.0548069, 3.87007, 8.01015
0.0509619, 4.66175, 3.75927
0.055854, 2.69482, 10.52
0.0543017, 1.9504, 2.64466
0.0627471, 10.5413, 1.28151
0.0570101, 10.5092, 10.4638
0.0505984, 5.34157, 6.45557
0.0565204, 1.80564, 4.32735
0.050801, 6.56406, 2.49003
0.0592293, 10.7417, 6.08028
0.0523712, 4.99581, 7.58535
0.0531305, 7.21104, 3.99622
0.0583288, 1.60891, 4.98251
0.0625413, 2.90842, 6.17729
0.0535555, 8.57853, 8.254
0.0520464, 10.6361, 8.90813
0.0570011, 4.73252, 4.89265
0.0553096, 8.55589, 9.22195
0.0556664, 3.79161, 8.29022
0.0592143, 2.2819, 9.19602
0.0565951, 10.593, 4.44248
0.0626954, 5.50759, 2.31563
0.0511104, 10.8668, 8.84769
0.0590973, 8.71188, 3.56907
0.0574875, 10.0806, 9.62476
0.0627105, 2.15658, 4.75873
0.0599848, 10.4344, 9.61704
0.0627093, 5.34358, 5.18377
0.0568126, 9.6276, 1.65088
0.0556895, 3.87065, 1.23341
0.0548038, 4.51156, 7.01539
0.0543482, 8.5437, 7.10154
0.0538201, 8.67706, 1.02948
0.0564168, 7.76701, 7.60514
0.0531307, 8.55089, 1.9155
0.054749, 4.4373, 9.9595
0.0551638, 6.38587, 9.16932
0.0537932, 3.43723, 6.2688
0.0564253, 3.94621, 3.2058
0.0576457, 3.72846, 4.13156
0.0601323, 2.37675, 7.03614
0.0662359, 3.4543, 6.2533
0.0568643, 8.29988, 1.36132
0.0532762, 2.09444, 9.02703
0.0529891, 8.81339, 6.68506
0.0563073, 2.09497, 3.60337
0.0562872, 4.32978, 4.9667
0.0625222, 5.52067, 3.4348
0.05989, 2.34486, 8.37555
0.0602485, 2.56194, 4.36947
0.0539581, 6.0392, 1.8808
0.0565288, 7.46869, 7.04751
0.0534833, 6.20596, 2.02024
0.0575512, 9.82979, 4.61768
0.0587683, 4.77913, 9.77975
