0.497567, 0.868, 0.925
0.49121, 0.875, 0.898
0.491433, 0.895, 0.902
0.496301, 0.89, 0.861
0.518487, 0.893, 0.886
0.482469, 0.863, 0.847
0.501836, 0.916, 0.9
0.494916, 0.854, 0.892
0.488172, 0.87, 0.941
0.494541, 0.86, 0.842
0.494256, 0.935, 0.953
0.486398, 0.855, 0.909
0.507721, 0.921, 0.882
0.498325, 0.866, 0.886
0.512019, 0.896, 0.933
0.493732, 0.895, 0.833
0.501696, 0.914, 0.893
0.494284, 0.916, 0.803
0.495088, 0.871, 0.941
0.484298, 0.872, 0.867
0.49929, 0.861, 0.903
0.490918, 0.878, 0.913
0.5028, 0.932, 0.839
0.5226, 0.867, 0.968
0.483125, 0.865, 0.884
0.510864, 0.9, 0.955
0.493101, 0.907, 0.884
0.497699, 0.853, 0.857
0.492759, 0.864, 0.892
0.508462, 0.898, 0.917
0.482711, 0.846, 0.907
0.500074, 0.917, 0.835
0.49851, 0.864, 0.897
0.508948, 0.898, 0.907
0.488686, 0.94, 0.882
0.497693, 0.846, 0.915
0.494469, 0.917, 0.853
0.51048, 0.876, 0.896
0.470188, 0.89, 0.893
0.487501, 0.9, 0.864
0.477653, 0.897, 0.871
0.509635, 0.884, 0.938
0.514866, 0.857, 0.872
0.508419, 0.931, 0.887
0.486755, 0.843, 0.885
0.511344, 0.883, 0.89
0.500009, 0.842, 0.876
0.512065, 0.894, 0.901
0.508727, 0.931, 0.853
0.505039, 0.857, 0.877
0.491356, 0.894, 0.902
0.507487, 0.927, 0.909
0.499729, 0.953, 0.888
0.482926, 0.873, 0.894
0.491261, 0.94, 0.899
0.50224, 0.835, 0.901
0.502832, 0.898, 0.903
0.503466, 0.868, 0.865
0.497377, 0.834, 0.898
0.507246, 0.882, 0.897
0.499821, 0.897, 0.898
0.520267, 0.917, 0.938
0.500644, 0.859, 0.856
0.504939, 0.897, 0.889
0.509093, 0.866, 0.925
0.496199, 0.891, 0.901
0.478084, 0.909, 0.854
0.499499, 0.914, 0.897
0.503339, 0.929, 0.896
0.50484, 0.861, 0.866
0.503029, 0.921, 0.934
0.491758, 0.88, 0.895
0.501307, 0.935, 0.953
0.496458, 0.877, 0.875
0.490598, 0.954, 0.906
0.48563, 0.905, 0.907
0.476502, 0.83, 0.909
0.490602, 0.934, 0.879
0.480038, 0.912, 0.889
0.515575, 0.869, 0.924
0.463793, 0.9, 0.916
0.505398, 0.866, 0.879
0.472086, 0.912, 0.907
0.506983, 0.911, 0.869
0.485571, 0.909, 0.871
0.516821, 0.911, 0.881
0.507423, 0.861, 0.95
0.493923, 0.883, 0.901
0.484999, 0.881, 0.84
0.493217, 0.904, 0.907
0.481492, 0.845, 0.901
0.51962, 0.923, 0.858
0.4862, 0.884, 0.908
0.508519, 0.889, 0.881
0.486852, 0.843, 0.911
0.478294, 0.94, 0.829
0.48048, 0.886, 0.855
0.509155, 0.909, 0.905
0.495598, 0.903, 0.928
0.483204, 0.864, 0.895
0.492872, 0.879, 0.896
0.512987, 0.864, 0.895
0.493141, 0.859, 0.928
0.488564, 0.897, 0.869
0.510683, 0.896, 0.866
0.492517, 0.927, 0.923
0.493814, 0.864, 0.879
0.506918, 0.885, 0.922
0.518597, 0.904, 0.889
0.49948, 0.926, 0.919
0.498888, 0.893, 0.896
0.482568, 0.853, 0.853
0.499694, 0.848, 0.863
0.482919, 0.916, 0.934
0.493872, 0.913, 0.883
0.493816, 0.89, 0.877
0.502163, 0.877, 0.931
0.503524, 0.892, 0.898
0.469674, 0.883, 0.916
0.494742, 0.871, 0.953
0.514857, 0.908, 0.937
0.536084, 0.886, 0.903
0.499064, 0.845, 0.94
0.507044, 0.839, 0.875
0.480477, 0.883, 0.912
0.490707, 0.879, 0.893
0.493845, 0.905, 0.855
0.493711, 0.919, 0.803
0.492821, 0.931, 0.876
0.482243, 0.889, 0.899
0.509915, 0.872, 0.882
0.496005, 0.902, 0.908
0.501143, 0.921, 0.871
0.497479, 0.919, 0.832
0.490657, 0.913, 0.868
0.500366, 0.916, 0.9
0.509702, 0.953, 0.89
0.510815, 0.825, 0.913
0.501635, 0.855, 0.876
0.513172, 0.907, 0.843
0.526817, 0.886, 0.906
0.471806, 0.926, 0.915
0.502896, 0.912, 0.917
0.514373, 0.867, 0.919
0.505628, 0.862, 0.883
0.498262, 0.956, 0.903
0.493611, 0.896, 0.933
0.49017, 0.822, 0.883
0.496691, 0.853, 0.879
0.509475, 0.878, 0.886
0.48502, 0.864, 0.906
0.516948, 0.83, 0.942
0.506963, 0.919, 0.85
0.489377, 0.86, 0.874
0.5036, 0.923, 0.846
0.513241, 0.947, 0.905
0.482324, 0.856, 0.924
0.499104, 0.851, 0.928
0.483793, 0.873, 0.9
0.540775, 0.855, 0.928
0.480702, 0.861, 0.88
0.504375, 0.861, 0.909
0.488384, 0.868, 0.872
0.49257, 0.898, 0.888
0.486212, 0.889, 0.905
0.502567, 0.849, 0.897
0.490364, 0.832, 0.862
0.484592, 0.912, 0.859
0.484602, 0.822, 0.89
0.49096, 0.863, 0.909
0.472608, 0.909, 0.865
0.495062, 0.93, 0.813
0.471578, 0.904, 0.889
0.498728, 0.859, 0.879
0.485225, 0.897, 0.87
0.500151, 0.851, 0.933
0.490487, 0.898, 0.857
0.490581, 0.864, 0.882
0.483986, 0.903, 0.932
0.509035, 0.9, 0.933
0.478758, 0.861, 0.914
0.487683, 0.872, 0.861
0.522975, 0.902, 0.906
0.479566, 0.868, 0.909
0.477005, 0.921, 0.873
0.499835, 0.901, 0.844
0.521727, 0.874, 0.878
0.497529, 0.915, 0.863
0.488355, 0.86, 0.864
0.49609, 0.891, 0.848
0.485455, 0.904, 0.942
0.484403, 0.922, 0.777
0.501996, 0.852, 0.832
0.480119, 0.878, 0.963
0.495472, 0.901, 0.856
0.509787, 0.907, 0.898
0.486475, 0.885, 0.864
0.491212, 0.976, 0.918
0.517185, 0.857, 0.835
0.473352, 0.902, 0.875
0.503201, 0.939, 0.852
0.499663, 0.899, 0.865
0.51193, 0.903, 0.922
0.497574, 0.948, 0.905
0.497059, 0.938, 0.886
0.509878, 0.913, 0.871
0.501033, 0.822, 0.875
0.503929, 0.944, 0.877
0.518006, 0.903, 0.939
0.523339, 0.845, 0.875
0.481378, 0.885, 0.864
0.487084, 0.905, 0.853
0.490934, 0.919, 0.911
0.506076, 0.917, 0.898
0.465145, 0.888, 0.89
0.510812, 0.937, 0.875
0.482084, 0.849, 0.868
0.49271, 0.842, 0.896
0.480428, 0.871, 0.87
0.488644, 0.915, 0.901
0.497979, 0.878, 0.854
0.484578, 0.895, 0.916
0.486833, 0.912, 0.89
0.482282, 0.855, 0.93
0.510498, 0.829, 0.906
0.480199, 0.924, 0.889
0.499475, 0.888, 0.892
0.501211, 0.884, 0.95
0.51855, 0.893, 0.91
0.502398, 0.891, 0.875
0.497034, 0.888, 0.865
0.494124, 0.945, 0.904
0.493415, 0.904, 0.888
0.516072, 0.843, 0.898
0.512783, 0.868, 0.843
0.492427, 0.843, 0.88
0.502681, 0.87, 0.942
0.491177, 0.875, 0.893
0.508618, 0.895, 0.934
0.505794, 0.867, 0.839
0.499773, 0.908, 0.813
0.478214, 0.913, 0.927
0.490001, 0.859, 0.881
0.504715, 0.922, 0.851
0.493489, 0.831, 0.898
0.481951, 0.914, 0.886
0.499348, 0.894, 0.878
0.487676, 0.894, 0.884
0.493521, 0.92, 0.865
0.515354, 0.885, 0.893
0.5084, 0.941, 0.897
0.4949, 0.864, 0.95
0.493294, 0.907, 0.901
0.491177, 0.87, 0.869
0.495116, 0.904, 0.925
0.510488, 0.905, 0.896
0.47239, 0.912, 0.894
0.477246, 0.87, 0.845
0.497647, 0.881, 0.841
0.499556, 0.855, 0.882
0.500859, 0.821, 0.904
0.505499, 0.943, 0.881
0.50589, 0.929, 0.908
0.492603, 0.832, 0.834
0.494787, 0.917, 0.868
