Selfish Miner Profit, Block Vakue
0.536651, 12752655
0.532715, 12758943
0.517668, 12753447
0.546158, 12755819
0.525636, 12755558
0.517733, 12756305
0.548594, 12758445
0.541018, 12745554
0.527709, 12762302
0.523644, 12754919
0.549561, 12754835
0.516659, 12752033
0.539371, 12750090
0.538402, 12757981
0.53367, 12756120
0.534576, 12750988
0.557663, 12761080
0.53477, 12755138
0.526857, 12752931
0.527795, 12760805
0.531387, 12751628
0.532143, 12749493
0.531479, 12760169
0.522972, 12747978
0.533407, 12751110
0.54977, 12753108
0.540185, 12758464
0.538135, 12754317
0.531165, 12752434
0.522711, 12754804
0.52438, 12755665
0.518114, 12759845
0.497752, 12755555
0.523347, 12748483
0.553427, 12757752
0.550913, 12754946
0.518263, 12757873
0.531119, 12744896
0.538385, 12753026
0.548263, 12760829
0.543267, 12759536
0.527918, 12753093
0.511763, 12752583
0.553142, 12751821
0.538521, 12756379
0.533099, 12753893
0.559211, 12757594
0.535909, 12759826
0.52738, 12749181
0.531916, 12752533
0.521887, 12763929
0.52462, 12752240
0.545418, 12754544
0.543158, 12756052
0.537737, 12762387
0.543901, 12756888
0.51965, 12754547
0.553505, 12750814
0.522155, 12751326
0.525263, 12752191
0.512631, 12755131
0.536225, 12755886
0.555525, 12758061
0.533764, 12750025
0.524764, 12756874
0.539003, 12752133
0.529227, 12748645
0.524275, 12758076
0.529364, 12754185
0.535492, 12749077
0.543795, 12756870
0.525632, 12760735
0.518617, 12754268
0.500702, 12749964
0.543069, 12757798
0.525138, 12758010
0.543586, 12757417
0.532239, 12750877
0.535769, 12753656
0.509759, 12755622
0.543542, 12757764
0.530282, 12755219
0.53616, 12756069
0.524873, 12752194
0.545434, 12755752
0.51379, 12753046
0.51465, 12754583
0.549665, 12760435
0.54328, 12751381
0.562531, 12753144
0.544793, 12759631
0.53765, 12754968
0.525215, 12749675
0.525416, 12754724
0.546487, 12754461
0.531236, 12760689
0.536057, 12753562
0.538187, 12747929
0.533222, 12757217
0.533665, 12755785
0.53385, 12757635
0.535412, 12754117
0.537632, 12757054
0.51149, 12751199
0.52656, 12755534
0.560695, 12755370
0.53529, 12759547
0.519047, 12755355
0.541553, 12757913
0.523294, 12748503
0.523171, 12747424
0.561001, 12758683
0.534593, 12758735
0.521483, 12751676
0.534758, 12753967
0.536602, 12755866
0.532828, 12756435
0.533062, 12752617
0.532788, 12752267
0.529848, 12748550
0.516142, 12754326
0.514566, 12754349
0.540749, 12761475
0.528535, 12755737
0.529163, 12755700
0.526711, 12755835
0.527353, 12761388
0.537408, 12758095
0.549085, 12760462
0.519311, 12751599
0.526143, 12751265
0.51623, 12760151
0.531386, 12754504
0.518758, 12757821
0.538339, 12748656
0.528361, 12759291
0.54399, 12756706
0.513843, 12751024
0.543639, 12758298
0.54008, 12756593
0.523753, 12761270
0.525183, 12755534
0.542157, 12751209
0.525265, 12752909
0.53306, 12757450
0.513227, 12755799
0.533138, 12751603
0.518337, 12763566
0.519063, 12755479
0.522573, 12760092
0.522957, 12762188
0.530576, 12753699
0.530637, 12753541
0.541594, 12762340
0.527609, 12756767
0.534349, 12756608
0.526393, 12756898
0.514428, 12748143
0.523852, 12758021
0.555406, 12757091
0.526961, 12760024
0.541643, 12754013
0.526695, 12752707
0.531815, 12757495
0.524148, 12751386
0.542034, 12755151
0.539101, 12758566
0.547571, 12753628
0.528283, 12756191
0.521301, 12756230
0.53453, 12752695
0.522709, 12751876
0.551776, 12756376
0.52599, 12760373
0.518927, 12757455
0.530635, 12755757
0.529669, 12750895
0.531423, 12749570
0.528524, 12751807
0.534055, 12761879
0.522904, 12754476
0.523696, 12756169
0.549033, 12754147
0.540377, 12749295
0.533273, 12756496
0.529232, 12756938
0.537699, 12756883
0.541162, 12749901
0.540022, 12756214
0.535874, 12758754
0.529719, 12751476
0.53085, 12754522
0.526182, 12756976
0.531304, 12756013
0.532373, 12746567
0.535379, 12752343
0.519859, 12757982
0.543979, 12749096
0.5386, 12752125
0.525504, 12750127
0.526928, 12753979
0.518189, 12751514
0.554494, 12759127
0.546948, 12757110
0.544356, 12756626
0.534481, 12756389
0.532167, 12759361
0.529894, 12752170
0.536524, 12755486
0.539629, 12753968
0.541732, 12755675
0.516356, 12752201
0.545366, 12755543
0.521406, 12751621
0.528627, 12759330
0.544187, 12755703
0.549179, 12752788
0.535606, 12755620
0.551377, 12752373
0.534409, 12759192
0.530844, 12756974
0.544119, 12758682
0.526091, 12752169
0.527243, 12753933
0.528021, 12754663
0.538551, 12751551
0.531292, 12756573
0.530727, 12759132
0.531811, 12756883
0.542192, 12758003
0.541339, 12757660
0.52334, 12750583
0.535575, 12750850
0.523878, 12750244
0.524178, 12749112
0.53165, 12755317
0.53391, 12752080
0.54541, 12757986
0.529657, 12760018
0.536177, 12757604
0.532818, 12754452
0.531719, 12756437
0.514548, 12754767
0.554165, 12753852
0.546277, 12757415
0.526677, 12756359
0.530225, 12757024
0.529345, 12758012
0.548501, 12758218
0.538648, 12752306
0.516935, 12760970
0.540336, 12756097
0.52993, 12758503
0.552843, 12758933
0.537648, 12756694
0.542316, 12750478
0.526559, 12748679
0.522229, 12753192
0.524844, 12756531
0.517057, 12753530
0.548516, 12749725
0.536176, 12754971
0.533263, 12751179
0.521121, 12755944
0.538186, 12753307
0.540118, 12757462
0.51087, 12758863
0.56141, 12761449
0.51768, 12753236
0.542167, 12758279
0.524908, 12753317
0.527055, 12753530
0.523477, 12751155
0.531616, 12755285
0.498904, 12759835
0.528449, 12749239
0.535576, 12764345
0.511473, 12751745
0.554693, 12759743
0.512798, 12751888
0.538369, 12754413
0.526768, 12761191
0.527986, 12759621
0.515505, 12755188
0.540833, 12747534
0.517459, 12757629
0.509852, 12751117
0.526282, 12753611
0.532364, 12756895
0.519682, 12749668
0.562438, 12754804
0.558691, 12756753
0.532822, 12759090
0.535627, 12757797
0.527549, 12757440
0.546766, 12758087
0.52365, 12752545
0.541663, 12758237
0.536783, 12751937
0.540865, 12754406
0.533349, 12762517
0.549829, 12756463
0.53201, 12755564
0.535008, 12759861
0.531914, 12747186
0.523392, 12754427
0.528446, 12750856
0.519681, 12753917
0.540754, 12753829
0.524682, 12754740
0.540833, 12752141
0.530459, 12756796
0.53368, 12748130
0.55366, 12760952
0.516854, 12751961
0.532379, 12750526
0.520003, 12751663
0.560178, 12753383
0.521922, 12758717
0.524941, 12749966
0.538935, 12761525
0.545067, 12756645
0.52636, 12751211
0.538233, 12751296
0.522062, 12750569
0.542375, 12759281
0.55196, 12753284
0.52031, 12756118
0.521161, 12751110
0.526054, 12759284
0.545575, 12751795
0.542643, 12754084
0.545709, 12761239
0.520407, 12751757
0.520618, 12757152
0.535448, 12752642
0.518384, 12753133
0.527406, 12755845
0.534907, 12755044
0.549431, 12756686
0.522977, 12757363
0.544601, 12757052
0.524341, 12759910
0.521875, 12751411
0.510481, 12758664
0.507305, 12759289
0.537857, 12756601
0.521256, 12754496
0.526122, 12756780
0.516405, 12756679
0.521958, 12754122
0.540275, 12750632
0.532011, 12759803
0.538112, 12755000
0.547941, 12764107
0.536885, 12756573
0.538536, 12755607
0.528217, 12754419
0.534562, 12752884
0.52432, 12761040
0.539486, 12753829
0.527221, 12758383
0.520146, 12758392
0.524126, 12754964
0.549622, 12753458
0.535765, 12749419
0.532965, 12757374
0.515997, 12755955
0.511119, 12755360
0.552291, 12759997
0.557063, 12751351
0.524331, 12751895
0.54888, 12751805
0.537584, 12757719
0.547034, 12753154
0.549061, 12751756
0.530412, 12756332
0.531346, 12756826
0.525939, 12752687
0.521827, 12757122
0.542393, 12758538
0.552011, 12753213
0.511408, 12756187
0.534051, 12749829
0.528248, 12753377
0.536795, 12753813
0.534783, 12757816
0.526799, 12752000
0.52222, 12751683
0.525283, 12752124
0.53905, 12755212
0.554697, 12753532
0.531011, 12755594
0.532309, 12750338
0.523368, 12768497
0.515673, 12750725
0.517999, 12748315
0.537541, 12753873
0.530541, 12763342
0.540049, 12756192
0.53715, 12751151
0.532765, 12756871
0.544829, 12755808
0.530212, 12754706
0.547015, 12752186
0.532386, 12764807
0.555074, 12749173
0.526142, 12758180
0.535934, 12751300
0.525086, 12748718
0.540308, 12756340
0.538125, 12753475
0.541432, 12760578
0.519111, 12750696
0.536395, 12756016
0.52983, 12752326
0.528481, 12756375
0.519405, 12758653
0.540141, 12761568
0.540999, 12756686
0.525233, 12760456
0.525742, 12754817
0.52428, 12757602
0.533206, 12753014
0.52746, 12747158
0.527501, 12753490
0.53668, 12749075
0.553649, 12753676
0.519736, 12756389
0.515927, 12748754
0.529591, 12760633
0.536088, 12749898
0.545558, 12753472
0.519265, 12754721
0.539898, 12752141
0.547355, 12756614
0.53635, 12750844
0.532516, 12752726
0.524534, 12758245
0.521918, 12757386
0.514326, 12756154
0.51891, 12757993
0.529356, 12755838
0.503568, 12755077
0.522504, 12759071
0.537899, 12751812
0.542332, 12750382
0.515688, 12763574
0.523094, 12748013
0.555588, 12750480
0.533852, 12761619
0.530842, 12752241
0.527036, 12754770
0.542048, 12761368
0.536889, 12756162
0.548698, 12749829
0.530264, 12755307
0.549341, 12760193
0.521404, 12755489
0.539588, 12752308
0.528259, 12757516
0.554667, 12749428
0.520823, 12759031
0.541889, 12753404
0.523201, 12759547
0.526746, 12748025
0.545233, 12756737
0.533985, 12758817
0.527785, 12755280
0.553296, 12753533
0.529676, 12753547
0.535428, 12749591
0.534182, 12747346
0.521565, 12750744
0.515285, 12757261
0.537112, 12756695
0.532389, 12755064
0.532085, 12752320
0.534845, 12761275
0.541559, 12756577
0.552882, 12756493
0.53162, 12766440
0.536597, 12754987
